tweet_id,retweet_count,favorite_count
892420643555336193,7755,36451
892177421306343426,5743,31416
891815181378084864,3802,23658
891689557279858688,7915,39773
891327558926688256,8543,37980
891087950875897856,2859,19112
890971913173991426,1866,11130
890729181411237888,17307,61458
890609185150312448,3939,26324
890240255349198849,6743,30085
890006608113172480,6734,28969
889880896479866881,4576,26314
889665388333682689,9184,45361
889638837579907072,4126,25541
889531135344209921,2070,14281
889278841981685760,4898,23781
888917238123831296,4137,27491
888804989199671297,3903,24147
888554962724278272,3196,18654
888078434458587136,3175,20558
887705289381826560,4935,28528
887517139158093824,10802,43758
887473957103951883,16538,64976
887343217045368832,9612,31752
887101392804085760,5470,28909
886983233522544640,7051,33022
886736880519319552,2952,11326
886680336477933568,4098,21205
886366144734445568,2910,19971
886267009285017600,4,113
886258384151887873,5796,26433
886054160059072513,100,0
885984800019947520,6170,30747
885528943205470208,5868,33941
885518971528720385,3427,19340
885311592912609280,17019,0
885167619883638784,4017,20667
884925521741709313,16635,72890
884876753390489601,5135,26296
884562892145688576,4316,22932
884441805382717440,5225,25543
884247878851493888,18704,68636
884162670584377345,2747,19259
883838122936631299,3156,20622
883482846933004288,9073,43283
883360690899218434,3406,21430
883117836046086144,6093,35022
882992080364220416,3576,22561
882762694511734784,4491,26698
882627270321602560,5583,26411
882268110199369728,10640,42339
882045870035918850,4495,27674
881906580714921986,3119,22978
881666595344535552,9820,47815
881633300179243008,7,120
881536004380872706,14674,46707
881268444196462592,4829,21911
880935762899988482,2563,16123
880872448815771648,3520,20107
880465832366813184,5728,26928
880221127280381952,3831,25494
880095782870896641,3990,26093
879862464715927552,3217,21126
879674319642796034,10,297
879492040517615616,2930,22171
879415818425184262,40868,99940
879376492567855104,2878,15880
879130579576475649,6257,0
879050749262655488,4311,21297
879008229531029506,2471,17947
878776093423087618,3759,18305
878604707211726852,6553,28501
878404777348136964,1186,0
878316110768087041,6133,0
878281511006478336,1186,7303
878057613040115712,6257,39787
877736472329191424,17466,75063
877611172832227328,74,0
877556246731214848,3503,21480
877316821321428993,4787,25922
877201837425926144,5149,25643
876838120628539392,3070,19568
876537666061221889,4319,22359
876484053909872640,2190,17761
876120275196170240,4305,26485
875747767867523072,3944,23818
875144289856114688,4533,20736
875097192612077568,5611,25994
875021211251597312,4359,24138
874680097055178752,4275,26351
874434818259525634,13438,0
874296783580663808,3794,24671
874057562936811520,3676,21525
874012996292530176,9504,32551
873580283840344065,3632,22966
873337748698140672,1477,0
873213775632977920,1477,6800
872967104147763200,5030,25919
872820683541237760,3443,13999
872620804844003328,3385,19681
872486979161796608,8384,38699
872122724285648897,7515,32624
871879754684805121,10237,35779
871762521631449091,3241,19244
871515927908634625,3231,19186
871166179821445120,5313,0
871102520638267392,5130,19918
871032628920680449,3568,21648
870804317367881728,5770,32049
870726314365509632,3,117
870656317836468226,2466,11784
870374049280663552,24687,79023
870308999962521604,3873,20873
870063196459192321,7768,34855
869772420881756160,9437,40557
869702957897576449,5896,26953
869596645499047938,2926,15257
869227993411051520,3543,19500
868880397819494401,13515,62521
868639477480148993,1947,0
868622495443632128,4968,25514
868552278524837888,1947,9633
867900495410671616,3925,23172
867774946302451713,6911,32518
867421006826221569,2338,15407
867072653475098625,113,0
867051520902168576,7405,30865
866720684873056260,4509,19212
866686824827068416,3275,18491
866450705531457537,33193,117204
866334964761202691,13438,50276
866094527597207552,7906,0
865718153858494464,5300,24622
865359393868664832,4721,25422
865006731092295680,7265,26912
864873206498414592,8218,31025
864279568663928832,2854,14003
864197398364647424,8378,28876
863907417377173506,3915,19814
863553081350529029,3968,14689
863471782782697472,2301,0
863432100342583297,4969,22913
863427515083354112,91,2136
863079547188785154,1051,8458
863062471531167744,2301,8155
862831371563274240,4877,18495
862722525377298433,3354,16479
